Date : 2021-06-24 10:56:01
Directory : c:\Users\kk\Desktop\outstanding-crm-front\src
Total : 321 files,  38319 codes, 640 comments, 3504 blanks, all 42463 lines

Languages
+------------+------------+------------+------------+------------+------------+
| language   | files      | code       | comment    | blank      | total      |
| PublicComponents\personInfo\components\changePwd                                                                                                                                    |          2 |         64 |          0 |         13 |         77 |
| PublicComponents\personInfo\components\infoEdit                                                                                                                                     |          2 |         84 |          1 |         16 |        101 |
| PublicComponents\top                                                                                                                                                                |          2 |         96 |          0 |         16 |        112 |
| axios                                                                                                                                                                               |          1 |          4 |          1 |          2 |          7 |
| components                                                                                                                                                                          |          4 |        150 |          1 |         18 |        169 |
| components\backstageTop                                                                                                                                                             |          2 |         54 |          1 |          2 |         57 |
| components\receptionTop                                                                                                                                                             |          2 |         96 |          0 |         16 |        112 |
| pages                                                                                                                                                                               |        140 |     19,204 |        277 |      1,810 |     21,291 |
| pages\backstageMgt                                                                                                                                                                  |         60 |     13,685 |        204 |      1,059 |     14,948 |
| pages\backstageMgt\customer                                                                                                                                                         |          3 |        456 |         17 |         23 |        496 |
| pages\backstageMgt\customer\component                                                                                                                                               |          1 |        136 |          4 |          4 |        144 |
| pages\backstageMgt\font-awesome-4.7.0                                                                                                                                               |         32 |     10,817 |        112 |        810 |     11,739 |
| pages\backstageMgt\font-awesome-4.7.0\css                                                                                                                                           |          2 |      2,328 |         13 |          2 |      2,343 |
| pages\backstageMgt\font-awesome-4.7.0\fonts                                                                                                                                         |          1 |      2,671 |          0 |          1 |      2,672 |
| pages\backstageMgt\font-awesome-4.7.0\less                                                                                                                                          |         14 |      1,758 |         44 |         48 |      1,850 |
| pages\backstageMgt\font-awesome-4.7.0\scss                                                                                                                                          |         15 |      4,060 |         55 |        759 |      4,874 |
| pages\backstageMgt\homepage                                                                                                                                                         |          4 |        191 |          1 |         38 |        230 |
| pages\backstageMgt\homepage\uploadimg                                                                                                                                               |          2 |         83 |          1 |          9 |         93 |
| pages\backstageMgt\menulayout                                                                                                                                                       |          2 |        122 |          0 |         32 |        154 |
| pages\backstageMgt\office                                                                                                                                                           |          3 |        459 |         18 |         23 |        500 |
| pages\backstageMgt\project                                                                                                                                                          |          3 |        447 |         18 |         24 |        489 |
| pages\backstageMgt\staff&department                                                                                                                                                 |          8 |        585 |         19 |         81 |        685 |
| pages\backstageMgt\staff&department\paging                                                                                                                                          |          2 |        113 |         18 |         11 |        142 |
| pages\backstageMgt\staff&department\sdcontent                                                                                                                                       |          2 |        146 |          0 |         10 |        156 |
| pages\backstageMgt\staff&department\sdtable                                                                                                                                         |          2 |        109 |          1 |         13 |        123 |
| pages\backstageMgt\systemMgt                                                                                                                                                        |          3 |        592 |         18 |         23 |        633 |
| pages\customerMgt                                                                                                                                                                   |         80 |      5,519 |         73 |        751 |      6,343 |
| pages\customerMgt\components                                                                                                                                                        |         18 |        541 |         14 |         71 |        626 |
| pages\customerMgt\components\Alertmodal                                                                                                                                             |          6 |        112 |          0 |         24 |        136 |
| pages\customerMgt\components\Alertmodal\component                                                                                                                                   |          4 |         79 |          0 |         15 |         94 |
| pages\customerMgt\components\Alertmodal\component\searchtabs                                                                                                                        |          2 |         28 |          0 |          8 |         36 |
| pages\customerMgt\components\Alertmodal\component\searchtransfer                                                                                                                    |          2 |         51 |          0 |          7 |         58 |
| pages\customerMgt\components\Creatpopover                                                                                                                                           |          4 |         86 |          0 |         15 |        101 |
| pages\customerMgt\components\Drawercomponent                                                                                                                                        |          2 |        145 |          0 |          7 |        152 |
| pages\customerMgt\components\ParentMenu                                                                                                                                             |          2 |         50 |          0 |          6 |         56 |
| pages\customerMgt\components\sdtable                                                                                                                                                |          2 |         98 |         14 |         12 |        124 |
| pages\customerMgt\components\searchtransfer                                                                                                                                         |          2 |         50 |          0 |          7 |         57 |
| pages\customerMgt\menulayout                                                                                                                                                        |         60 |      4,961 |         59 |        668 |      5,688 |
| pages\customerMgt\menulayout\component                                                                                                                                              |         58 |      4,844 |         59 |        653 |      5,556 |
| pages\customerMgt\menulayout\component\bO                                                                                                                                           |          4 |        537 |          6 |         68 |        611 |
| pages\customerMgt\menulayout\component\bO\js                                                                                                                                        |          2 |        157 |          0 |          2 |        159 |
| pages\customerMgt\menulayout\component\clue                                                                                                                                         |          4 |        537 |          6 |         68 |        611 |
| pages\customerMgt\menulayout\component\clue\js                                                                                                                                      |          2 |        157 |          0 |          2 |        159 |
| pages\customerMgt\menulayout\component\contacts                                                                                                                                     |          4 |        537 |          6 |         68 |        611 |
| pages\customerMgt\menulayout\component\contacts\js                                                                                                                                  |          2 |        157 |          0 |          2 |        159 |
| pages\customerMgt\menulayout\component\contract                                                                                                                                     |          4 |        537 |          6 |         68 |        611 |
| pages\customerMgt\menulayout\component\contract\js                                                                                                                                  |          2 |        157 |          0 |          2 |        159 |
| pages\customerMgt\menulayout\component\customer                                                                                                                                     |          4 |        537 |          6 |         68 |        611 |
| pages\customerMgt\menulayout\component\customer\js                                                                                                                                  |          2 |        157 |          0 |          2 |        159 |
| pages\customerMgt\menulayout\component\dashboardlayout                                                                                                                              |         24 |        365 |          1 |         75 |        441 |
| pages\customerMgt\menulayout\component\dashboardlayout\component                                                                                                                    |         22 |        263 |          0 |         53 |        316 |
| pages\customerMgt\menulayout\component\dashboardlayout\component\footleft                                                                                                           |          2 |          8 |          0 |          5 |         13 |
| pages\customerMgt\menulayout\component\dashboardlayout\component\footright                                                                                                          |          2 |          8 |          0 |          5 |         13 |
| pages\customerMgt\menulayout\component\dashboardlayout\component\topleft                                                                                                            |         16 |        239 |          0 |         38 |        277 |
| pages\customerMgt\menulayout\component\dashboardlayout\component\topleft\component                                                                                                  |         14 |        195 |          0 |         30 |        225 |
| pages\customerMgt\menulayout\component\dashboardlayout\component\topleft\component\BO                                                                                               |          2 |         11 |          0 |          3 |         14 |
| pages\customerMgt\menulayout\component\dashboardlayout\component\topleft\component\contacts                                                                                         |          2 |         11 |          0 |          3 |         14 |
| pages\customerMgt\menulayout\component\dashboardlayout\component\topleft\component\contract                                                                                         |          2 |         11 |          0 |          3 |         14 |
| pages\customerMgt\menulayout\component\dashboardlayout\component\topleft\component\customer                                                                                         |          4 |        140 |          0 |         15 |        155 |
| pages\customerMgt\menulayout\component\dashboardlayout\component\topleft\component\customer\component                                                                               |          2 |         94 |          0 |          4 |         98 |
| pages\customerMgt\menulayout\component\dashboardlayout\component\topleft\component\customer\component\alerttable                                                                    |          2 |         94 |          0 |          4 |         98 |
| pages\customerMgt\menulayout\component\dashboardlayout\component\topleft\component\followup                                                                                         |          2 |         11 |          0 |          3 |         14 |
| pages\customerMgt\menulayout\component\dashboardlayout\component\topleft\component\statebo                                                                                          |          2 |         11 |          0 |          3 |         14 |
| pages\customerMgt\menulayout\component\dashboardlayout\component\topright                                                                                                           |          2 |          8 |          0 |          5 |         13 |
| pages\customerMgt\menulayout\component\opensea                                                                                                                                      |          4 |        537 |          6 |         68 |        611 |
| pages\customerMgt\menulayout\component\opensea\js                                                                                                                                   |          2 |        157 |          0 |          2 |        159 |
| pages\customerMgt\menulayout\component\payment                                                                                                                                      |          4 |        537 |          6 |         68 |        611 |
| pages\customerMgt\menulayout\component\payment\js                                                                                                                                   |          2 |        157 |          0 |          2 |        159 |
| pages\customerMgt\menulayout\component\prodocutTable                                                                                                                                |          4 |        705 |         16 |         96 |        817 |
| pages\customerMgt\menulayout\component\prodocutTable\js                                                                                                                             |          2 |        157 |          0 |          2 |        159 |
| pages\customerMgt\menulayout\component\todolist                                                                                                                                     |          2 |         15 |          0 |          6 |         21 |
| router                                                                                                                                                                              |          1 |        103 |         12 |          8 |        123 |
+-------------------------------------------------------------------------------------------------------------------------------------------------------------------------------------+------------+------------+------------+------------+------------+

Files
+-------------------------------------------------------------------------------------------------------------------------------------------------------------------------------------+------------+------------+------------+------------+------------+
| filename                                                                                                                                                                            | language   | code       | comment    | blank      | total      |
+-------------------------------------------------------------------------------------------------------------------------------------------------------------------------------------+------------+------------+------------+------------+------------+
| c:\Users\kk\Desktop\outstanding-crm-front\src\App.js                                                                                                                                | JavaScript |         28 |          1 |          7 |         36 |
| c:\Users\kk\Desktop\outstanding-crm-front\src\Protable\store.js                                                                                                                     | JavaScript |         37 |          0 |          6 |         43 |
| c:\Users\kk\Desktop\outstanding-crm-front\src\Protable\style.css                                                                                                                    | CSS        |          0 |          0 |          1 |          1 |
| c:\Users\kk\Desktop\outstanding-crm-front\src\PublicComponents\Creatpopover\store.js                                                                                                | JavaScript |         36 |          0 |          7 |         43 |
| c:\Users\kk\Desktop\outstanding-crm-front\src\PublicComponents\Creatpopover\style.css                                                                                               | CSS        |         23 |          0 |          4 |         27 |
| c:\Users\kk\Desktop\outstanding-crm-front\src\PublicComponents\Creatpopover\style.min.css                                                                                           | CSS        |          1 |          0 |          1 |          2 |
| c:\Users\kk\Desktop\outstanding-crm-front\src\PublicComponents\Creatpopover\style.scss                                                                                              | SCSS       |         26 |          0 |          3 |         29 |
| c:\Users\kk\Desktop\outstanding-crm-front\src\PublicComponents\backstageMgt\component\homepage\component\menulayout\component\popover\store.js                                      | JavaScript |         27 |         12 |         10 |         49 |
| c:\Users\kk\Desktop\outstanding-crm-front\src\PublicComponents\backstageMgt\component\homepage\component\menulayout\component\uploadimg\store.js                                    | JavaScript |         81 |          1 |          9 |         91 |
| c:\Users\kk\Desktop\outstanding-crm-front\src\PublicComponents\backstageMgt\component\homepage\component\menulayout\component\uploadimg\style.css                                   | CSS        |          2 |          0 |          0 |          2 |
| c:\Users\kk\Desktop\outstanding-crm-front\src\PublicComponents\backstageMgt\component\homepage\component\menulayout\store.js                                                        | JavaScript |         88 |          0 |          8 |         96 |
| c:\Users\kk\Desktop\outstanding-crm-front\src\PublicComponents\backstageMgt\component\homepage\component\menulayout\style.css                                                       | CSS        |         22 |          0 |          5 |         27 |
| c:\Users\kk\Desktop\outstanding-crm-front\src\PublicComponents\backstageMgt\component\homepage\store.js                                                                             | JavaScript |         74 |          0 |         23 |         97 |
| c:\Users\kk\Desktop\outstanding-crm-front\src\PublicComponents\backstageMgt\component\homepage\style.css                                                                            | CSS        |         34 |          0 |          6 |         40 |
| c:\Users\kk\Desktop\outstanding-crm-front\src\PublicComponents\backstageMgt\component\rolecontrol\component\font-awesome-4.7.0\css\font-awesome.css                                 | CSS        |      2,327 |         10 |          1 |      2,338 |
| c:\Users\kk\Desktop\outstanding-crm-front\src\PublicComponents\backstageMgt\component\rolecontrol\component\font-awesome-4.7.0\css\font-awesome.min.css                             | CSS        |          1 |          3 |          1 |          5 |
| c:\Users\kk\Desktop\outstanding-crm-front\src\PublicComponents\backstageMgt\component\rolecontrol\component\font-awesome-4.7.0\fonts\fontawesome-webfont.svg                        | XML        |      2,671 |          0 |          1 |      2,672 |
| c:\Users\kk\Desktop\outstanding-crm-front\src\PublicComponents\backstageMgt\component\rolecontrol\component\font-awesome-4.7.0\less\animated.less                                   | Less       |         28 |          2 |          5 |         35 |
| c:\Users\kk\Desktop\outstanding-crm-front\src\PublicComponents\backstageMgt\component\rolecontrol\component\font-awesome-4.7.0\less\bordered-pulled.less                            | Less       |         17 |          3 |          6 |         26 |
| c:\Users\kk\Desktop\outstanding-crm-front\src\PublicComponents\backstageMgt\component\rolecontrol\component\font-awesome-4.7.0\less\core.less                                       | Less       |          8 |          2 |          3 |         13 |
| c:\Users\kk\Desktop\outstanding-crm-front\src\PublicComponents\backstageMgt\component\rolecontrol\component\font-awesome-4.7.0\less\fixed-width.less                                | Less       |          4 |          2 |          1 |          7 |
| c:\Users\kk\Desktop\outstanding-crm-front\src\PublicComponents\backstageMgt\component\rolecontrol\component\font-awesome-4.7.0\less\font-awesome.less                               | Less       |         13 |          4 |          2 |         19 |
| c:\Users\kk\Desktop\outstanding-crm-front\src\PublicComponents\backstageMgt\component\rolecontrol\component\font-awesome-4.7.0\less\icons.less                                      | Less       |        786 |          2 |          2 |        790 |
| c:\Users\kk\Desktop\outstanding-crm-front\src\PublicComponents\backstageMgt\component\rolecontrol\component\font-awesome-4.7.0\less\larger.less                                     | Less       |          9 |          3 |          2 |         14 |
| c:\Users\kk\Desktop\outstanding-crm-front\src\PublicComponents\backstageMgt\component\rolecontrol\component\font-awesome-4.7.0\less\list.less                                       | Less       |         16 |          2 |          2 |         20 |
| c:\Users\kk\Desktop\outstanding-crm-front\src\PublicComponents\backstageMgt\component\rolecontrol\component\font-awesome-4.7.0\less\mixins.less                                     | Less       |         41 |         10 |         10 |         61 |
| c:\Users\kk\Desktop\outstanding-crm-front\src\PublicComponents\backstageMgt\component\rolecontrol\component\font-awesome-4.7.0\less\path.less                                       | Less       |         11 |          3 |          2 |         16 |
| c:\Users\kk\Desktop\outstanding-crm-front\src\PublicComponents\backstageMgt\component\rolecontrol\component\font-awesome-4.7.0\less\rotated-flipped.less                            | Less       |         12 |          4 |          5 |         21 |
| c:\Users\kk\Desktop\outstanding-crm-front\src\PublicComponents\backstageMgt\component\rolecontrol\component\font-awesome-4.7.0\less\screen-reader.less                              | Less       |          2 |          2 |          2 |          6 |
| c:\Users\kk\Desktop\outstanding-crm-front\src\PublicComponents\backstageMgt\component\rolecontrol\component\font-awesome-4.7.0\less\stacked.less                                    | Less       |         17 |          2 |          2 |         21 |
| c:\Users\kk\Desktop\outstanding-crm-front\src\PublicComponents\backstageMgt\component\rolecontrol\component\font-awesome-4.7.0\less\variables.less                                  | Less       |        794 |          3 |          4 |        801 |
| c:\Users\kk\Desktop\outstanding-crm-front\src\PublicComponents\backstageMgt\component\rolecontrol\component\font-awesome-4.7.0\scss\_animated.scss                                  | SCSS       |         28 |          2 |          5 |         35 |
| c:\Users\kk\Desktop\outstanding-crm-front\src\PublicComponents\backstageMgt\component\rolecontrol\component\font-awesome-4.7.0\scss\_bordered-pulled.scss                           | SCSS       |         17 |          3 |          6 |         26 |
| c:\Users\kk\Desktop\outstanding-crm-front\src\PublicComponents\backstageMgt\component\rolecontrol\component\font-awesome-4.7.0\scss\_core.scss                                      | SCSS       |          8 |          2 |          3 |         13 |
| c:\Users\kk\Desktop\outstanding-crm-front\src\PublicComponents\backstageMgt\component\rolecontrol\component\font-awesome-4.7.0\scss\_fixed-width.scss                               | SCSS       |          4 |          2 |          1 |          7 |
| c:\Users\kk\Desktop\outstanding-crm-front\src\PublicComponents\backstageMgt\component\rolecontrol\component\font-awesome-4.7.0\scss\_icons.scss                                     | SCSS       |        786 |          2 |          2 |        790 |
| c:\Users\kk\Desktop\outstanding-crm-front\src\PublicComponents\backstageMgt\component\rolecontrol\component\font-awesome-4.7.0\scss\_larger.scss                                    | SCSS       |          9 |          3 |          2 |         14 |
| c:\Users\kk\Desktop\outstanding-crm-front\src\PublicComponents\backstageMgt\component\rolecontrol\component\font-awesome-4.7.0\scss\_list.scss                                      | SCSS       |         16 |          2 |          2 |         20 |
| c:\Users\kk\Desktop\outstanding-crm-front\src\PublicComponents\backstageMgt\component\rolecontrol\component\font-awesome-4.7.0\scss\_mixins.scss                                    | SCSS       |         41 |         10 |         10 |         61 |
| c:\Users\kk\Desktop\outstanding-crm-front\src\PublicComponents\backstageMgt\component\rolecontrol\component\font-awesome-4.7.0\scss\_path.scss                                      | SCSS       |         11 |          3 |          2 |         16 |
| c:\Users\kk\Desktop\outstanding-crm-front\src\PublicComponents\backstageMgt\component\rolecontrol\component\font-awesome-4.7.0\scss\_rotated-flipped.scss                           | SCSS       |         12 |          4 |          5 |         21 |
| c:\Users\kk\Desktop\outstanding-crm-front\src\PublicComponents\backstageMgt\component\rolecontrol\component\font-awesome-4.7.0\scss\_screen-reader.scss                             | SCSS       |          2 |          2 |          2 |          6 |
| c:\Users\kk\Desktop\outstanding-crm-front\src\PublicComponents\backstageMgt\component\rolecontrol\component\font-awesome-4.7.0\scss\_stacked.scss                                   | SCSS       |         17 |          2 |          2 |         21 |
| c:\Users\kk\Desktop\outstanding-crm-front\src\PublicComponents\backstageMgt\component\rolecontrol\component\font-awesome-4.7.0\scss\_variables.scss                                 | SCSS       |        794 |          3 |          4 |        801 |
| c:\Users\kk\Desktop\outstanding-crm-front\src\PublicComponents\backstageMgt\component\rolecontrol\component\font-awesome-4.7.0\scss\font-awesome.css                                | CSS        |      2,302 |         11 |        711 |      3,024 |
| c:\Users\kk\Desktop\outstanding-crm-front\src\PublicComponents\backstageMgt\component\rolecontrol\component\font-awesome-4.7.0\scss\font-awesome.scss                               | SCSS       |         13 |          4 |          2 |         19 |
| c:\Users\kk\Desktop\outstanding-crm-front\src\PublicComponents\backstageMgt\component\rolecontrol\component\jurisdiction\customer\component\table.js                                | JavaScript |        136 |          4 |          4 |        144 |
| c:\Users\kk\Desktop\outstanding-crm-front\src\PublicComponents\backstageMgt\component\rolecontrol\component\jurisdiction\customer\customer.css                                      | CSS        |          0 |          0 |          1 |          1 |
| c:\Users\kk\Desktop\outstanding-crm-front\src\PublicComponents\backstageMgt\component\rolecontrol\component\jurisdiction\customer\customer.js                                       | JavaScript |        339 |         14 |         18 |        371 |
